TANGGAL,TX,RH_AVG,RR,FF_X,FF_AVG
20-03-2022,30.3,82,8888,15,3
21-03-2022,33.5,75,29.7,5,2
22-03-2022,31.6,85,0,5,2
23-03-2022,31.8,84,4,4,2
24-03-2022,32.5,82,15.2,6,3
25-03-2022,32.8,80,0,6,2
26-03-2022,32.2,84,-,6,2
27-03-2022,32.8,80,26,5,2
28-03-2022,33,84,8888,5,2
29-03-2022,32.1,78,5,6,2
30-03-2022,32,80,-,4,2
31-03-2022,29.5,88,8888,4,1
01-04-2022,32.4,83,6.8,8,2
02-04-2022,32.2,82,0.4,4,1
03-04-2022,30.9,87,8888,4,1
04-04-2022,32,79,31.5,5,1
05-04-2022,30.3,88,0,11,2
06-04-2022,33,83,70.1,4,2
07-04-2022,27.7,89,21.9,5,1
08-04-2022,31.6,83,3.5,7,2
09-04-2022,28,90,5.8,4,1
10-04-2022,30.5,90,19.6,4,1
11-04-2022,30.3,89,2.3,6,1
12-04-2022,31.6,87,10.2,5,1
13-04-2022,31,85,3.4,4,1
14-04-2022,32.1,80,0,6,2
15-04-2022,29.8,87,0,5,1
16-04-2022,31.8,82,21.7,5,2
17-04-2022,31.6,85,0,5,2
18-04-2022,32.4,85,13.4,4,1
19-04-2022,31.2,90,1,13,1
20-04-2022,30.5,86,64.8,4,1
21-04-2022,30.2,84,3.6,4,2
22-04-2022,32.8,80,8888,6,2
23-04-2022,32.6,80,0,6,2
24-04-2022,32.6,80,0,5,1
25-04-2022,32.8,80,0,5,2
26-04-2022,31.1,87,0.1,4,1
27-04-2022,29.8,92,1,4,1
28-04-2022,31.8,88,13.4,4,1
29-04-2022,32,83,9.4,7,2
30-04-2022,32.6,82,0.8,4,1
01-05-2022,31.2,81,0,5,2
02-05-2022,29.4,86,1,5,2
03-05-2022,30.3,85,1.8,5,2
04-05-2022,30.2,88,96,5,2
05-05-2022,32.2,82,0.5,5,2
06-05-2022,32.2,83,0,6,2
07-05-2022,32.7,85,6.5,5,2
08-05-2022,30.2,86,7.4,6,2
09-05-2022,32.2,82,8888,7,2
10-05-2022,32.9,78,-,6,2
11-05-2022,28.7,91,17.5,3,1
12-05-2022,33,75,4.1,9,2
13-05-2022,32.6,82,0,6,2
14-05-2022,33.2,86,8888,4,2
15-05-2022,32.2,85,42.3,4,1
16-05-2022,33.4,86,37.5,6,2
17-05-2022,32.4,80,12.8,5,2
18-05-2022,33.2,79,0,5,2
19-05-2022,32.4,88,0,5,2
20-05-2022,31.8,84,25.4,5,1
21-05-2022,32.6,82,1,5,2
22-05-2022,32.6,80,0,6,2
23-05-2022,33.7,79,0,6,2
24-05-2022,33.6,78,8888,4,2
25-05-2022,32.3,84,-,8,1
26-05-2022,33.7,84,25.5,5,1
27-05-2022,33.1,80,1.1,6,1
28-05-2022,32.2,79,8888,8,2
29-05-2022,32.4,75,8888,4,2
30-05-2022,34.1,73,0,4,1
31-05-2022,33.8,83,0,4,1
01-06-2022,31.4,90,10.3,3,1
02-06-2022,30.8,93,3.1,7,2
03-06-2022,30.4,86,120.9,4,1
04-06-2022,30.7,84,-,4,1
05-06-2022,31.6,86,2.1,6,2
06-06-2022,30.5,87,5.7,6,2
07-06-2022,30,86,23,5,1
08-06-2022,31.1,85,0.5,5,2
09-06-2022,28.7,91,7.7,4,1
10-06-2022,32.2,82,0.3,4,1
11-06-2022,30.9,82,5.1,5,2
12-06-2022,27.8,91,1,3,1
13-06-2022,32,85,1.5,4,1
14-06-2022,32.2,84,13.3,5,2
15-06-2022,31.5,83,13.2,5,2
16-06-2022,29.9,90,2.5,4,2
17-06-2022,29.5,85,9.3,3,1
18-06-2022,31.3,86,8888,3,1
19-06-2022,31.6,85,16,5,1
20-06-2022,26.7,95,47.2,4,1
21-06-2022,28.4,94,72.1,3,1
22-06-2022,29.6,88,42.6,5,2
23-06-2022,28.9,90,4.7,6,2
24-06-2022,30.1,86,13.8,5,2
25-06-2022,27.3,90,0.4,5,2
26-06-2022,31.3,83,0.8,5,2
27-06-2022,31.6,82,0.2,4,1
28-06-2022,31.8,87,8888,6,2
29-06-2022,31.2,81,1.7,6,2
30-06-2022,28.4,86,7.1,4,1
01-07-2022,31.1,81,1.1,6,2
02-07-2022,32.1,80,0,6,2
03-07-2022,32.4,79,0,5,2
04-07-2022,32.9,79,0,5,2
05-07-2022,31.8,88,0,4,2
06-07-2022,30.8,84,9.8,4,2
07-07-2022,32.6,80,0,5,2
08-07-2022,29.8,84,8.3,9,3
09-07-2022,32,82,2.1,5,2
10-07-2022,30.3,81,-,9,2
11-07-2022,32,81,8888,6,2
12-07-2022,31.7,79,0,8,3
13-07-2022,30.2,83,-,4,2
14-07-2022,32.9,85,8888,5,2
15-07-2022,32.9,85,20.6,6,2
16-07-2022,32.6,80,2.1,6,3
17-07-2022,32.6,80,-,5,2
18-07-2022,32.9,79,0,6,3
19-07-2022,32.9,79,0,6,3
20-07-2022,29.8,84,-,7,2
21-07-2022,-,83,30.8,4,2
22-07-2022,31,87,1.3,4,1
23-07-2022,30.8,87,3.6,4,1
24-07-2022,29.8,87,8.3,5,1
25-07-2022,29.7,87,24.4,6,2
26-07-2022,29,88,58.8,4,1
27-07-2022,31.9,80,0.2,6,3
28-07-2022,32.4,80,-,8,2
29-07-2022,32.7,82,0,8,3
